freqValuesSource,fourierValuesSource,fourierValuesFilter1,fourierValuesFilter2,original
127.0,0.00017887310531464862,0.00018014349313202497,0.00017840805847548874,0.0002558743334184302
128.0,0.0003965934207846153,0.0003940953146095808,0.0003931301191282462,0.00019660956772685686
129.0,0.0001324579600363282,0.0001316621358281277,0.00013107699813552285,7.292753058527777e-05
130.0,0.00011048524607852863,0.00011563754750050559,0.0001156599786694188,0.00035912957928623836
131.0,0.0005104581865141421,0.0005044513989012235,0.0005027314832488853,0.0002346183625785912
132.0,0.0005027663529984748,0.0004939898355549269,0.0004885977226643247,0.0003755407118184792
133.0,0.00039649555692425673,0.0004089503136884939,0.0004054637605723703,0.00010717925027654101
134.0,0.0002627164025979143,0.00028826333149906954,0.0002891341785049813,0.0002991832343752891
135.0,0.00023368098402675206,0.0002270654977462759,0.00022589015797444187,0.00031860708869431816
136.0,0.0007505931712772082,0.0007392458525281792,0.000734081029854718,0.0005955404700970612
137.0,0.0003139872073597494,0.0003380168791958911,0.00033346275677679685,0.0009577351814933155
138.0,0.0005392210745257132,0.0005138759203769919,0.0005096046153279478,0.000882376894358166
139.0,0.0012577291092478024,0.0012252168425859905,0.0012157132343398082,0.0012459883258586592
140.0,0.0009300474902229744,0.0008566005046764755,0.000851403481346775,0.0015638386639562744
141.0,0.001272782059027903,0.0012521638508663814,0.0012429863706268816,0.0012330670118316633
142.0,0.0008832670384326516,0.0008370032541357418,0.0008323472475692307,0.0015193921066139642
143.0,0.0008384400760187099,0.0008387256413252237,0.0008315948475042256,0.0005979581318469536
144.0,0.0012550005155938194,0.0012804381700153818,0.0012707571340701647,0.0004695097487520904
145.0,0.0007404580872468692,0.0007492489677508558,0.0007440435930936837,0.00031668564705528124
146.0,0.00030835867290315144,0.0003176389176065765,0.00031534401789582405,0.00014522055451184776
147.0,0.0006255727397298352,0.0006326714027835159,0.0006297062771993316,0.00010455483318584377
148.0,0.00027659679957156986,0.00027346369343130407,0.0002723196402265516,3.2720964751933125e-05
149.0,0.0001355864850349006,0.00013005846545996374,0.00012897649401765498,0.00029894998796317537
150.0,0.0004218714354434478,0.00042141012583497936,0.0004170071965474875,0.0003801496557657897
151.0,0.00018186642303857627,0.0001711624769750036,0.00016814384419147008,4.013710033871221e-05
152.0,4.299331367820651e-05,4.8547502627849004e-05,4.733010687995334e-05,0.00011933501967398517
153.0,8.979733328205551e-05,9.450076607522491e-05,9.20021789431836e-05,0.00020405021403311453
154.0,0.00010826120407160763,0.00011121929787809499,0.00011020573160407954,0.0001315536988951471
155.0,9.36612811531888e-05,9.119263491890981e-05,9.048685337178766e-05,0.00023451223497199727
156.0,2.4409439846932415e-05,2.435094112505227e-05,2.4899442272943806e-05,3.843414196343271e-05
157.0,0.00017717515439048822,0.00018186747910404208,0.0001803549482771438,0.00015115191932994028
158.0,5.7116221903604344e-05,5.6428405331953103e-05,5.3816242978379436e-05,9.149907277730445e-05
159.0,0.00011367030839779955,0.00010966942789979308,0.0001085943384233171,8.30993976626347e-05
160.0,0.0002115137904710818,0.0002204805606680541,0.00021834426293205835,6.210322925092771e-05
161.0,0.0001512704805037457,0.00014928845174300165,0.00014750256957342866,6.748998847586173e-05
162.0,0.00010953457866524867,0.00010326187326255295,0.00010264144583782652,7.060303728482181e-05
163.0,0.0001953911742119985,0.0001946284704606821,0.00019383613085883228,0.00012610920865966944
164.0,0.0001977357492124651,0.00020346663876890308,0.00019899807205532528,5.112230978287035e-05
165.0,0.0001694785958328351,0.00016950291929566407,0.00016683766326956682,0.00017218576826002793
166.0,0.00011589903316540607,0.00011840615942848665,0.00011652247676560769,0.00013984346873072758
167.0,0.00011422755863869284,0.00011269053581964048,0.00011282409464599401,3.514892428757557e-05
168.0,8.290393209299571e-05,9.050765025398661e-05,8.923133873928573e-05,0.00018422543262686553
